id,japanese,english,latin,category,region,testSet,explanation
pdf_kaibo4_69072cd468,深部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ebe3c2c27b,涙嚢部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_20d9327a9c,眉毛下制筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_31af053a56,前耳介筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3e8153da02,上耳介筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ebdb48c6ec,後耳介筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3c7ad64ba3,口輪筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b3d790eb63,縁部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9e2487be08,唇部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c234d23b94,口角下制筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_82a19bb5a1,オトガイ横筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_00e64a106f,笑筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_be206d3002,大頬骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_448e904600,小頬骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ff0fd63788,上唇挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_12ebf21af0,眼窩下筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_8afd515d25,上唇鼻翼挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4473784b28,眼角筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_136efa45ec,下唇下制筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_bee6f76056,口角挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a11d6fbf10,犬歯筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9a0e3e52b9,口角筋軸,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_e8046f5ece,頬筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_2dc1fd0684,オトガイ筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b34900760c,咀嚼筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c243c9e8d7,咬筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9ed7240630,浅部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_30e38b5cd1,側頭筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3082109a7e,外側翼突筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4cba0d0f45,上頭,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f7188ce9a2,下頭,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9c69bd5978,内側翼突筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_93fe0037ae,頬咽頭筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0e0f6491f5,咬筋筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b9f290fee5,耳下腺筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_456bb0bcbe,側頭筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_da3c837231,浅葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d44eb794e3,深葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d49069201e,頸部の筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_60dab04833,広頸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a9ee8135f7,頸長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3f2f8364b5,頭長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0b217410c1,前頭直筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d0e74fe6d9,外側頭直筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_32702b2d32,前斜角筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_18dd5e514e,中斜角筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f1c3a46831,後斜角筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_64c42fefa4,最小斜角筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_25ce69b056,胸鎖乳突筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_24b1ae38d6,後頭下筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f830b9ba53,大後頭直筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_92128e6d5f,小後頭直筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_14b14847c6,上頭斜筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3459e9f0c1,下頭斜筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_87869f3a4e,舌骨上筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f9551bb28a,顎二腹筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a83198a5a4,前腹,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c199cac241,後腹,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a0aada50c6,茎突舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3765cdd1c0,顎舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ef7d96e647,オトガイ舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f41f94137c,舌骨下筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1aeee395f7,胸骨舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_48b6bb57a6,肩甲舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1a191a0acd,上腹,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4eb22efa62,下腹,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9b49565a15,胸骨甲状筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_e864cf9894,甲状舌骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_583bd98bff,甲状腺挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_81fa895f49,頸筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_292e4b8f1e,胸骨上鮎,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7b067affb5,気管前葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_968ca7d89a,甲状腺提靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5429acbea2,椎前葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d35523aff3,頸動脈鞘,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_8e0b3b4cba,咽頭筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7671254a9b,喉頭筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_36285eae06,背部の筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0f3ec52d04,水平部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9dc6cea691,横行部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_2bc4ea004e,上行部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b1d4741273,項横筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_311b8b6e93,広背筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7e81b73b2b,大菱形筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_bcbb5ea91b,小菱形筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_26d51ac125,肩甲挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7462a08194,上後鋸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d577eb175d,下後鋸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0a0713a65d,腰外側横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0f0c46d64a,後部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a8d141a992,前部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_56ff584fa7,頸前横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_723cdf1355,頸外側後横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c02ea8db82,項筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7e216b6efe,固有背筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_cecd2fe824,棘横突筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_49d1afc2ec,板状筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0f32d239a8,頭板状筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a7f8c6925d,頸板状筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_492745467f,脊柱起立筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a6696c3651,脊柱起立筋腱膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_2dfafa9bfa,筋間中隔,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_8c82ff6254,腸肋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5c9836ffdb,腰腸肋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_56178b0bb8,腰部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b2c9a02dd7,脊柱起立筋腰,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_265223aeff,部の外側部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_981d3552c6,胸部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9cbe85adf2,頸腸肋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4c93bb1d2b,最長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d541b7dfde,胸最長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_0544883121,部の内側部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6513f3594e,頸最長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1ed7f49215,頭最長筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_fe9ef26794,棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ff6fd51434,胸棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4fc6a159f4,頸棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_95e5867aaa,頭棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a2eb939db1,横突棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_225f5bd509,半棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_774a8ab26f,胸半棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5608c5794d,頸半棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d5d38620cd,頭半棘筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d2335a07fa,多裂筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7a4419a6b6,腰多裂筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_48b55ecc68,胸多裂筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3118ada6e7,頸多裂筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7c1f3a7643,腰回旋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9618a270ab,胸回旋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ca39759548,頸回旋筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c541d44d88,棘間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5d64655ce4,腰棘間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_abfa3b4680,胸棘間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_95271aa024,頸棘間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_04a633c6ee,横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_61577a32f2,腰内側横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_42f96860fa,胸横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_079f29d537,頸内側後横突間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6ea0a21d95,胸腰筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6774dbc19c,後葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_17d9d61623,中葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c19c1d6709,前葉,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_feda9cf0ba,腰方形筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_2f98086aba,胸部の筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_202bcb463b,胸骨筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3d00c9805c,大胸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d65ab640c6,鎖骨部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f57a285979,胸肋部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1173676571,腹部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_29692a2b6c,小胸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1abbc62181,鎖骨下筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5f4e69bb03,前鋸筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b5d7898659,肋骨挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7d2748eeca,長肋骨挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d03fc23c62,短肋骨挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_521fd20b72,外肋間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_979347e4d4,内肋間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ddf3adaf72,最内肋間筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_31c96e6ce7,肋下筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1d32a3bcf4,胸横筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_9fb0cf901a,胸筋筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6dbd6c3735,鎖骨胸筋筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_25a995a2fa,胸内筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4ea1575c2f,胸部の壁側筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_bcea1c87f1,膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1a959797f8,腰椎部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_03c7807458,右脚,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_58f2374465,左脚,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_35d7ec5e30,正中弓状靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5529aa2986,内側弓状靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_45f931e4d5,外側弓状靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a84cca4270,肋骨部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b8e337a32e,胸骨部,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_07f6279109,大動脈裂孔,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_29b2d6e3ad,食道裂孔,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b65d3800d7,横隔食道膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c742b08a4d,腱中心,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_af7f10520a,大静脈孔,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_2bea09a01a,胸肋三角,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b780880394,腰肋三角,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_96d6016179,横隔膜筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_193e700583,腹部の筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_1292db4ecb,腹直筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b0391787ba,腱画,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_71a6b917f2,腹直筋鞘,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_45d7d9ac28,錐体筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_76219e7060,外腹斜筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7d1f51aefb,鼡径靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_b054894fe2,裂孔靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_c2d43bcb66,恥骨櫛靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_4095aa1aab,反転靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_43f679c1ac,浅鼡径輪,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6bb542eb27,内側脚,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_34c3e77824,外側脚,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_30df2ae045,脚間線維,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ff7e93bc63,内腹斜筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_ff52a57377,精巣挙筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7da8063f2b,挙睾筋♂,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_510095c401,腹横筋,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_110f3b158d,鼡径鎌,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_f1c7e36ca5,結合腱,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_24f0bf8e7f,深鼡径輪,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_a34510c58f,鼡径管,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_7f25667058,白線,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_d44e4aaef1,白線補束,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_5865cf198c,半月線,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_67ad3e37b1,腰三角,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_bc415d1072,腹部の筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_3a6ea11bd3,腹部の臓側筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_e8f73dfffe,器官固有の筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_32aa2a51c5,腹膜外筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_964b52d9aa,腹膜外靱帯,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_6232196367,腹部の壁側筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
pdf_kaibo4_70088a51f8,腸腰筋筋膜,,,muscle,general,pdf_reference_terms,kaibo4.pdf から追加した解剖学用語です。
